"treated_club_id","treated_season","treated_match_no","treated_ppg_prior","treated_ppg_next","treated_position","control_club_id","control_season","control_match_no","control_ppg_prior","control_ppg_next","control_position","match_dist"
41,2016,6,0.20000000000000000000,1.2000000000000000,18,42,2015,6,0.20000000000000000000,1.3000000000000000,18,0.00000000000000000000
82,2016,8,0.85714285714285714286,1.3000000000000000,16,33,2018,8,0.85714285714285714286,1.5000000000000000,16,0.00000000000000000000
4795,2016,11,0.20000000000000000000,1.3000000000000000,17,4,2018,27,0.20000000000000000000,0.42857142857142857143,17,0.00000000000000000000
105,2016,14,0.50000000000000000000,0.70000000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
18,2016,17,0.60000000000000000000,1.9000000000000000,14,39,2017,6,0.60000000000000000000,1.00000000000000000000,14,0.00000000000000000000
41,2017,20,0.80000000000000000000,0.60000000000000000000,17,167,2012,21,0.80000000000000000000,1.5000000000000000,17,0.00000000000000000000
79,2017,21,0.70000000000000000000,2.1000000000000000,14,38,2012,13,0.70000000000000000000,1.3000000000000000,14,0.00000000000000000000
82,2017,24,1.00000000000000000000,0.80000000000000000000,15,24,2013,4,1.00000000000000000000,0.80000000000000000000,15,0.00000000000000000000
16,2017,16,0.90000000000000000000,2.0000000000000000,6,33,2012,20,0.90000000000000000000,1.7000000000000000,6,0.00000000000000000000
86,2017,11,0.50000000000000000000,1.5000000000000000,17,79,2012,5,0.50000000000000000000,2.0000000000000000,17,0.00000000000000000000
167,2018,29,1.00000000000000000000,0.80000000000000000000,14,38,2012,11,1.00000000000000000000,1.3000000000000000,14,0.00000000000000000000
39,2019,7,0.50000000000000000000,1.2000000000000000,13,42,2013,30,0.50000000000000000000,2.5000000000000000,13,0.00000000000000000000
39,2019,8,0.85714285714285714286,1.2000000000000000,17,38,2018,7,0.83333333333333333333,1.3000000000000000,17,0.02380952380952380953
3,2019,12,0.70000000000000000000,1.9000000000000000,17,65,2012,11,0.70000000000000000000,0.50000000000000000000,17,0.00000000000000000000
39,2019,12,0.90000000000000000000,1.00000000000000000000,13,38,2012,15,0.90000000000000000000,1.00000000000000000000,13,0.00000000000000000000
33,2020,3,0.00000000000000000000,0.40000000000000000000,18,23,2013,3,0.00000000000000000000,0.80000000000000000000,18,0.00000000000000000000
39,2020,3,0.00000000000000000000,0.60000000000000000000,17,533,2012,2,0.00000000000000000000,1.2000000000000000,17,0.00000000000000000000
3,2020,29,0.80000000000000000000,2.0000000000000000,17,167,2012,21,0.80000000000000000000,1.5000000000000000,17,0.00000000000000000000
39,2020,14,0.60000000000000000000,1.2000000000000000,17,167,2012,15,0.60000000000000000000,1.3000000000000000,17,0.00000000000000000000
33,2020,14,0.40000000000000000000,0.60000000000000000000,18,23,2013,11,0.40000000000000000000,0.80000000000000000000,18,0.00000000000000000000
44,2020,19,1.00000000000000000000,1.00000000000000000000,15,24,2013,4,1.00000000000000000000,0.80000000000000000000,15,0.00000000000000000000
44,2021,28,0.50000000000000000000,1.1666666666666667,17,79,2012,5,0.50000000000000000000,2.0000000000000000,17,0.00000000000000000000
10,2021,31,0.50000000000000000000,0.66666666666666666667,17,79,2012,5,0.50000000000000000000,2.0000000000000000,17,0.00000000000000000000
80,2022,8,0.14285714285714285714,1.5000000000000000,18,65,2021,8,0.14285714285714285714,0.50000000000000000000,18,0.00000000000000000000
33,2022,11,0.60000000000000000000,0.70000000000000000000,18,167,2012,13,0.60000000000000000000,1.1000000000000000,18,0.00000000000000000000
79,2022,27,0.50000000000000000000,1.4285714285714286,16,79,2013,28,0.50000000000000000000,1.3333333333333333,16,0.00000000000000000000
167,2023,8,0.71428571428571428571,1.3000000000000000,10,44,2013,32,0.70000000000000000000,0.00000000000000000000,10,0.01428571428571428571
82,2023,27,0.60000000000000000000,1.2857142857142857,14,39,2017,6,0.60000000000000000000,1.00000000000000000000,14,0.00000000000000000000
89,2024,16,0.80000000000000000000,1.1000000000000000,12,79,2012,29,0.80000000000000000000,1.4000000000000000,12,0.00000000000000000000
18,2025,4,0.33333333333333333333,1.4000000000000000,17,127,2019,4,0.33333333333333333333,0.70000000000000000000,17,0.00000000000000000000
39,2025,14,0.50000000000000000000,1.6000000000000000,18,23,2013,9,0.50000000000000000000,0.80000000000000000000,18,0.00000000000000000000
86,2025,21,0.40000000000000000000,1.3000000000000000,16,41,2013,24,0.40000000000000000000,0.70000000000000000000,16,0.00000000000000000000
24,2025,21,1.00000000000000000000,1.5000000000000000,8,82,2013,4,1.00000000000000000000,1.7000000000000000,8,0.00000000000000000000
82,2025,26,0.50000000000000000000,1.00000000000000000000,17,79,2012,5,0.50000000000000000000,2.0000000000000000,17,0.00000000000000000000
3,2025,28,0.90000000000000000000,0.83333333333333333333,15,79,2013,31,0.90000000000000000000,0.33333333333333333333,15,0.00000000000000000000
