"treated_club_id","treated_season","treated_match_no","treated_ppg_prior","treated_ppg_next","treated_position","control_club_id","control_season","control_match_no","control_ppg_prior","control_ppg_next","control_position","match_dist"
15,2013,30,0.80000000000000000000,2.5000000000000000,4,16,2013,17,0.80000000000000000000,2.0000000000000000,4,0.00000000000000000000
15,2015,26,0.80000000000000000000,3.0000000000000000,7,3,2016,17,0.80000000000000000000,1.4000000000000000,7,0.00000000000000000000
15,2020,27,0.80000000000000000000,1.6000000000000000,6,15,2015,16,0.80000000000000000000,2.2000000000000000,6,0.00000000000000000000
15,2022,9,1.00000000000000000000,1.4000000000000000,15,3,2019,4,1.00000000000000000000,0.80000000000000000000,15,0.00000000000000000000
15,2025,3,0.50000000000000000000,2.6000000000000000,10,33,2019,3,0.50000000000000000000,2.0000000000000000,10,0.00000000000000000000
16,2017,16,0.40000000000000000000,1.8000000000000000,6,3,2016,25,0.40000000000000000000,0.80000000000000000000,6,0.00000000000000000000
16,2020,12,0.80000000000000000000,1.4000000000000000,4,16,2013,17,0.80000000000000000000,2.0000000000000000,4,0.00000000000000000000
16,2024,19,0.80000000000000000000,1.8000000000000000,11,3,2014,17,0.80000000000000000000,1.2000000000000000,11,0.00000000000000000000
16,2024,21,0.80000000000000000000,1.2000000000000000,11,3,2014,17,0.80000000000000000000,1.2000000000000000,11,0.00000000000000000000
18,2015,6,0.00000000000000000000,3.0000000000000000,16,3,2020,2,0.00000000000000000000,0.60000000000000000000,16,0.00000000000000000000
18,2016,17,0.80000000000000000000,2.4000000000000000,14,3,2020,19,0.80000000000000000000,0.80000000000000000000,14,0.00000000000000000000
18,2025,4,0.33333333333333333333,0.80000000000000000000,17,44,2022,4,0.33333333333333333333,1.4000000000000000,17,0.00000000000000000000
24,2015,26,0.60000000000000000000,1.2000000000000000,16,10,2020,11,0.60000000000000000000,1.4000000000000000,16,0.00000000000000000000
24,2025,21,0.40000000000000000000,2.0000000000000000,8,24,2016,27,0.40000000000000000000,0.80000000000000000000,8,0.00000000000000000000
33,2012,18,0.40000000000000000000,1.00000000000000000000,5,24,2012,27,0.40000000000000000000,1.4000000000000000,5,0.00000000000000000000
33,2018,26,0.20000000000000000000,1.4000000000000000,15,4,2012,9,0.20000000000000000000,1.6000000000000000,15,0.00000000000000000000
